
  2451755 function calls (2451745 primitive calls) in 4.908 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 {_ctypes.LoadLibrary}
        1    0.000    0.000    0.000    0.000 mbcs.py:38(getregentry)
       16    0.000    0.000    0.000    0.000 sre_parse.py:195(match)
        2    0.000    0.000    0.001    0.000 sre_compile.py:478(_code)
        8    0.000    0.000    0.000    0.000 sre_parse.py:130(__getitem__)
        3    0.000    0.000    0.000    0.000 {built-in method createcommand}
        1    0.000    0.000    0.000    0.000 genericpath.py:85(_splitext)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1740(Tk)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1697(wm_protocol)
       34    0.000    0.000    0.000    0.000 {_ctypes.sizeof}
        1    0.000    0.000    0.000    0.000 ntpath.py:173(split)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1960(Grid)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3256(Image)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2453(Entry)
        1    0.000    0.000    0.000    0.000 {math.exp}
        7    0.000    0.000    0.000    0.000 __future__.py:75(__init__)
        3    0.000    0.000    0.000    0.000 alg.py:53(__init__)
        1    0.000    0.000    0.000    0.000 {time.time}
        1    0.000    0.000    0.000    0.000 __init__.py:432(__getattr__)
        2    0.000    0.000    0.000    0.000 sre_parse.py:72(opengroup)
        6    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 Tkinter.py:2840(Scrollbar)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3391(Spinbox)
        5    0.000    0.000    0.000    0.000 alg.py:38(__init__)
        2    0.000    0.000    0.000    0.000 {_sre.compile}
        1    0.000    0.000    0.000    0.000 graphics.py:724(Text)
        1    0.000    0.000    0.007    0.007 random.py:91(__init__)
        4    0.000    0.000    0.000    0.000 sre_compile.py:472(isstring)
        1    0.000    0.000    0.011    0.011 Tkinter.py:962(update)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3571(PanedWindow)
        1    0.000    0.000    0.000    0.000 {method 'encode' of 'unicode' objects}
        1    0.000    0.000    0.000    0.000 {_codecs.mbcs_decode}
        8    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 Tkinter.py:1865(Pack)
        2    0.000    0.000    0.000    0.000 sre_parse.py:178(__init__)
        1    0.000    0.000    0.000    0.000 Tkinter.py:198(Variable)
        1    0.000    0.000    0.000    0.000 graphics.py:440(GraphicsObject)
        1    0.000    0.000    0.000    0.000 alg.py:28(medium_house)
        4    0.000    0.000    0.000    0.000 sre_parse.py:138(append)
        2    0.000    0.000    0.000    0.000 sre_parse.py:225(_class_escape)
        1    0.000    0.000    0.011    0.011 graphics.py:190(update)
        6    0.000    0.000    0.000    0.000 {getattr}
        4    0.000    0.000    0.000    0.000 sre_parse.py:90(__init__)
        2    0.000    0.000    0.000    0.000 sre_parse.py:83(closegroup)
        2    0.000    0.000    0.001    0.001 re.py:188(compile)
        8    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 graphics.py:874(Image)
        1    0.000    0.000    0.000    0.000 graphics.py:783(Entry)
        1    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x1E229458}
        1    0.000    0.000    0.000    0.000 Tkinter.py:1910(Place)
        1    0.000    0.000    0.000    0.000 random.py:655(WichmannHill)
        1    0.000    0.000    0.000    0.000 alg.py:13(small_house)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2807(Scale)
        2    0.000    0.000    0.000    0.000 {hasattr}
        4    0.000    0.000    0.000    0.000 sre_parse.py:126(__len__)
